Pose #0, score = 0.596903 
Keypoint nose, score = 0.998534, coord = [157.56164972 534.15637901] 
Keypoint leftEye, score = 0.996419, coord = [135.62872418 552.10362088] 
Keypoint rightEye, score = 0.998843, coord = [139.56737663 519.1756859 ] 
Keypoint leftEar, score = 0.955425, coord = [153.19602945 579.74228248] 
Keypoint rightEar, score = 0.837346, coord = [152.43627878 500.15058452] 
Keypoint leftShoulder, score = 0.797179, coord = [267.01632718 619.27619948] 
Keypoint rightShoulder, score = 0.748765, coord = [264.34491485 467.51639696] 
Keypoint leftElbow, score = 0.022847, coord = [366.55561505 720.46250314] 
Keypoint rightElbow, score = 0.010332, coord = [379.99813334 449.8284773 ] 
Keypoint leftWrist, score = 0.480710, coord = [413.03567259 674.93124777] 
Keypoint rightWrist, score = 0.857635, coord = [467.79545378 435.26522311] 
Keypoint leftHip, score = 0.667705, coord = [512.76409766 615.3814336 ] 
Keypoint rightHip, score = 0.129402, coord = [515.5474514  507.50319739] 
Keypoint leftKnee, score = 0.700936, coord = [720.52641786 596.63830435] 
Keypoint rightKnee, score = 0.252656, coord = [691.9437435  510.33506852] 
Keypoint leftAnkle, score = 0.691503, coord = [772.48349131 603.9257893 ] 
Keypoint rightAnkle, score = 0.001116, coord = [894.8192666  519.63806152] 
Pose #0, score = 0.596903 
Keypoint nose, score = 0.998534, coord = [157.56164972 534.15637901] 
Keypoint leftEye, score = 0.996419, coord = [135.62872418 552.10362088] 
Keypoint rightEye, score = 0.998843, coord = [139.56737663 519.1756859 ] 
Keypoint leftEar, score = 0.955425, coord = [153.19602945 579.74228248] 
Keypoint rightEar, score = 0.837346, coord = [152.43627878 500.15058452] 
Keypoint leftShoulder, score = 0.797179, coord = [267.01632718 619.27619948] 
Keypoint rightShoulder, score = 0.748765, coord = [264.34491485 467.51639696] 
Keypoint leftElbow, score = 0.022847, coord = [366.55561505 720.46250314] 
Keypoint rightElbow, score = 0.010332, coord = [379.99813334 449.8284773 ] 
Keypoint leftWrist, score = 0.480710, coord = [413.03567259 674.93124777] 
Keypoint rightWrist, score = 0.857635, coord = [467.79545378 435.26522311] 
Keypoint leftHip, score = 0.667705, coord = [512.76409766 615.3814336 ] 
Keypoint rightHip, score = 0.129402, coord = [515.5474514  507.50319739] 
Keypoint leftKnee, score = 0.700936, coord = [720.52641786 596.63830435] 
Keypoint rightKnee, score = 0.252656, coord = [691.9437435  510.33506852] 
Keypoint leftAnkle, score = 0.691503, coord = [772.48349131 603.9257893 ] 
Keypoint rightAnkle, score = 0.001116, coord = [894.8192666  519.63806152] 
